latitude,longitude,zipcode
41.809387,-88.32931,60542
41.684896,-88.34177,60543
41.607624,-88.19736,60544
41.665654,-88.53697,60545
41.836131,-87.82163,60546
41.645393,-88.63052,60548
41.490329,-88.74998,60549
41.769322,-88.86858,60550
41.527585,-88.68292,60551
41.645998,-88.69,60552
41.830628,-89.01704,60553
41.779939,-88.45183,60554
41.82552,-88.19452,60555
41.768498,-88.77539,60556
41.438531,-88.76933,60557
41.805531,-87.90103,60558
41.795358,-87.97778,60559
41.631342,-88.43996,60560
41.745623,-87.98108,60561
41.794885,-88.16188,60563
41.707118,-88.19634,60564
41.728738,-88.12824,60565
41.839679,-88.088716,60566
41.839679,-88.088716,60567
41.935616,-88.43238,60568
41.839679,-88.088716,60570
41.839679,-88.088716,60572
41.839679,-88.088716,60597
41.839679,-88.088716,60598
41.839679,-88.088716,60599
41.886456,-87.62325,60601
41.882937,-87.62874,60602
41.880446,-87.63014,60603
41.877589,-87.62818,60604
41.860019,-87.6187,60605
41.882582,-87.6376,60606
41.875882,-87.65114,60607
41.850532,-87.6699,60608
41.814283,-87.65282,60609
41.898582,-87.6371,60610
41.904667,-87.62504,60611
41.880682,-87.6877,60612
41.953256,-87.6629,60613
41.922682,-87.65432,60614
41.801525,-87.60215,60615
41.8474,-87.63126,60616
41.719973,-87.5557,60617
41.945681,-87.7048,60618
41.744834,-87.60444,60619
41.740483,-87.65282,60620
41.776983,-87.6404,60621
41.900332,-87.66927,60622
41.850232,-87.718,60623
41.879365,-87.72199,60624
41.971614,-87.70256,60625
42.009731,-87.66938,60626
41.695434,-87.62255,60628
41.777482,-87.71155,60629
41.971044,-87.75869,60630
41.99623,-87.81091,60631
41.809299,-87.7105,60632
41.655423,-87.55365,60633
41.944454,-87.79654,60634
41.776633,-87.66854,60636
41.779384,-87.60544,60637
41.787982,-87.7738,60638
41.921431,-87.75415,60639
41.973181,-87.6665,60640
41.946431,-87.74576,60641
41.696433,-87.65993,60643
41.881331,-87.75671,60644
42.008956,-87.69634,60645
41.995331,-87.7601,60646
41.921126,-87.70085,60647
41.335445,-87.785286,60648
41.761734,-87.57072,60649
41.818682,-87.743454,60650
41.901485,-87.74055,60651
41.7446,-87.71188,60652
41.819833,-87.61269,60653
41.888627,-87.63538,60654
41.696283,-87.69912,60655
41.97508,-87.8163,60656
41.940832,-87.65852,60657
41.991381,-87.70378,60659
41.990631,-87.6667,60660
41.882082,-87.64461,60661
41.811929,-87.68732,60663
41.811929,-87.68732,60664
41.811929,-87.68732,60665
41.968029,-87.891214,60666
41.811929,-87.68732,60667
41.811929,-87.68732,60668
41.811929,-87.68732,60669
41.811929,-87.68732,60670
41.811929,-87.68732,60671
41.811929,-87.68732,60672
41.811929,-87.68732,60673
41.811929,-87.68732,60674
41.811929,-87.68732,60675
41.811929,-87.68732,60677
41.811929,-87.68732,60678
41.811929,-87.68732,60679
41.811929,-87.68732,60680
41.811929,-87.68732,60681
41.811929,-87.68732,60683
41.811929,-87.68732,60684
41.811929,-87.68732,60685
41.811929,-87.68732,60687
41.811929,-87.68732,60690
41.811929,-87.68732,60691
41.867532,-87.672553,60692
42.096428,-87.71791,60693
41.811929,-87.68732,60694
41.811929,-87.68732,60697
41.811929,-87.68732,60699
41.811929,-87.68732,60701
41.96418,-87.81686,60706
41.922681,-87.80805,60707
42.005331,-87.73545,60712
42.032379,-87.81563,60714
41.675861,-87.73189,60803
41.844382,-87.7599,60804
41.719933,-87.70249,60805
41.649717,-87.63292,60827
41.114132,-87.86784,60901
41.146464,-87.888971,60902
41.078981,-87.80536,60910
40.883641,-87.9667,60911
40.968579,-87.61611,60912
41.147958,-88.06412,60913
41.170442,-87.86891,60914
41.144256,-87.86239,60915
41.04699,-88.18649,60917
40.598963,-88.03308,60918
40.987824,-88.23737,60919
41.024846,-88.30797,60920
40.757447,-88.29306,60921
41.005603,-87.90649,60922
40.565374,-87.88177,60924
40.572516,-87.81825,60926
40.937573,-87.94105,60927
40.766096,-87.85474,60928
40.873,-88.28676,60929
40.823527,-87.9874,60930
40.876303,-87.60159,60931
